ship,departure_date,inside,outside,balcony,suite,created_at
Celebrity Apex,03-Jan-2026,N/A,N/A,1722.45,N/A,2025-12-24T07:48:02+00:00
Celebrity Apex,10-Jan-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:02+00:00
Celebrity Apex,17-Jan-2026,N/A,N/A,N/A,11591.95,2025-12-24T07:48:02+00:00
Celebrity Apex,07-Feb-2026,N/A,N/A,1686.23,15928.73,2025-12-24T07:48:02+00:00
Celebrity Apex,14-Feb-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:02+00:00
Celebrity Apex,21-Feb-2026,N/A,N/A,N/A,5940.49,2025-12-24T07:48:02+00:00
Celebrity Apex,28-Feb-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:02+00:00
Celebrity Ascent,02-Jan-2026,1924.77,N/A,N/A,6847.77,2025-12-24T07:48:02+00:00
Celebrity Ascent,12-Jan-2026,1273.02,N/A,3298.02,7648.02,2025-12-24T07:48:02+00:00
Celebrity Ascent,23-Jan-2026,N/A,N/A,2898.47,N/A,2025-12-24T07:48:02+00:00
Celebrity Ascent,02-Feb-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:02+00:00
Celebrity Ascent,13-Feb-2026,1843.77,2172.27,2977.77,5247.77,2025-12-24T07:48:02+00:00
Celebrity Ascent,23-Feb-2026,N/A,2703.02,3078.02,6448.02,2025-12-24T07:48:02+00:00
Celebrity Beyond,04-Jan-2026,N/A,N/A,N/A,3781.9,2025-12-24T07:48:02+00:00
Celebrity Beyond,11-Jan-2026,N/A,1208.38,1639.88,5658.38,2025-12-24T07:48:02+00:00
Celebrity Beyond,18-Jan-2026,N/A,N/A,N/A,5443.9,2025-12-24T07:48:02+00:00
Celebrity Beyond,08-Feb-2026,N/A,N/A,4284.88,5042.88,2025-12-24T07:48:02+00:00
Celebrity Beyond,15-Feb-2026,1269.4,1389.4,2039.9,10628.4,2025-12-24T07:48:02+00:00
Celebrity Beyond,22-Feb-2026,930.22,N/A,1903.22,4145.22,2025-12-24T07:48:02+00:00
Celebrity Constellation,04-Jan-2026,N/A,N/A,1230.03,N/A,2025-12-24T07:48:02+00:00
Celebrity Constellation,11-Jan-2026,N/A,N/A,N/A,6455.28,2025-12-24T07:48:07+00:00
Celebrity Constellation,18-Jan-2026,N/A,N/A,1116.41,5798.91,2025-12-24T07:48:07+00:00
Celebrity Constellation,03-Feb-2026,444.38,713.38,1060.88,3913.88,2025-12-24T07:48:07+00:00
Celebrity Constellation,08-Feb-2026,812.3,N/A,N/A,6990.8,2025-12-24T07:48:07+00:00
Celebrity Constellation,15-Feb-2026,1031.86,1409.36,2678.86,N/A,2025-12-24T07:48:07+00:00
Celebrity Constellation,22-Feb-2026,794.9,N/A,N/A,7145.4,2025-12-24T07:48:07+00:00
Celebrity Eclipse,03-Jan-2026,N/A,1479.25,N/A,N/A,2025-12-24T07:48:07+00:00
Celebrity Eclipse,11-Jan-2026,N/A,N/A,N/A,2624.51,2025-12-24T07:48:07+00:00
Celebrity Eclipse,17-Jan-2026,N/A,N/A,N/A,3848.34,2025-12-24T07:48:07+00:00
Celebrity Eclipse,25-Jan-2026,N/A,N/A,N/A,2698.35,2025-12-24T07:48:07+00:00
Celebrity Eclipse,31-Jan-2026,N/A,N/A,N/A,N/A,2025-12-24T07:48:07+00:00
